,0
411,neutral
412,bored
413,neutral
414,neutral
415,bored
416,question
417,question
418,excited
419,excited
420,excited
421,neutral
422,question
423,bored
424,question
425,bored
426,neutral
427,bored
428,question
429,excited
430,neutral
431,neutral
432,question
433,excited
434,excited
435,neutral
436,question
437,question
438,question
439,excited
440,bored
441,question
442,bored
443,neutral
444,excited
445,neutral
446,neutral
447,question
448,excited
449,excited
450,question
451,neutral
452,neutral
453,neutral
454,bored
455,bored
456,excited
457,question
458,bored
459,bored
460,excited
461,question
462,question
463,question
464,bored
465,bored
466,neutral
467,neutral
468,excited
469,neutral
470,question
471,bored
472,bored
473,question
474,question
475,excited
476,excited
477,excited
478,neutral
479,bored
480,excited
481,question
482,excited
483,bored
484,neutral
485,excited
486,neutral
487,neutral
488,excited
489,bored
490,neutral
491,question
492,bored
493,excited
494,bored
495,neutral
496,excited
497,question
498,excited
499,excited
500,neutral
501,bored
502,bored
503,neutral
504,bored
505,excited
506,bored
507,bored
508,neutral
509,question
510,neutral
511,question
512,bored
513,excited
514,neutral
515,neutral
516,excited
517,bored
518,neutral
519,neutral
520,neutral
521,excited
522,bored
523,excited
524,bored
525,question
526,excited
527,neutral
528,excited
529,question
530,bored
531,bored
532,question
533,neutral
534,neutral
535,question
536,question
537,question
538,question
539,excited
540,excited
541,excited
542,question
543,neutral
544,bored
545,bored
546,neutral
547,bored
548,excited
549,neutral
550,excited
551,neutral
552,neutral
553,excited
554,question
555,bored
556,question
557,question
558,neutral
559,bored
560,bored
561,neutral
562,excited
563,bored
564,neutral
565,neutral
566,neutral
567,question
568,bored
569,bored
570,neutral
571,neutral
572,question
573,question
574,question
575,excited
576,bored
577,neutral
578,neutral
579,excited
580,bored
581,excited
582,excited
583,neutral
584,neutral
585,bored
586,excited
587,bored
588,bored
589,question
590,bored
591,bored
592,bored
593,excited
594,question
595,bored
596,bored
597,bored
598,excited
599,question
600,bored
601,bored
602,question
603,bored
604,question
605,excited
606,neutral
607,neutral
608,bored
609,question
610,neutral
611,neutral
612,question
613,bored
614,excited
615,bored
616,neutral
617,neutral
618,question
619,question
620,excited
621,question
622,bored
623,excited
624,excited
625,excited
626,bored
627,bored
628,excited
629,excited
630,bored
631,bored
632,question
633,neutral
634,excited
635,question
636,excited
637,bored
638,excited
639,excited
640,bored
641,excited
642,excited
643,question
644,bored
645,question
646,question
647,excited
648,excited
649,bored
650,neutral
651,neutral
652,question
653,excited
654,excited
655,bored
656,excited
657,bored
658,question
659,bored
660,bored
661,neutral
662,neutral
663,neutral
664,excited
665,question
666,bored
667,question
668,excited
669,excited
670,neutral
671,neutral
672,bored
673,question
674,question
675,bored
676,excited
677,bored
678,bored
679,neutral
680,neutral
681,bored
682,question
683,excited
684,question
685,question
686,bored
687,bored
688,question
689,neutral
690,bored
691,excited
692,excited
693,question
694,excited
695,excited
696,neutral
697,bored
698,neutral
699,neutral
700,neutral
701,neutral
702,question
703,bored
704,neutral
705,excited
706,excited
707,excited
708,bored
709,neutral
710,question
711,bored
712,question
713,excited
714,neutral
715,bored
716,neutral
717,bored
718,question
719,bored
720,question
721,neutral
722,bored
723,excited
724,neutral
725,question
726,neutral
727,neutral
728,neutral
729,question
730,question
731,neutral
732,excited
733,neutral
734,neutral
735,bored
736,neutral
737,question
738,question
739,bored
740,neutral
741,bored
742,neutral
743,bored
744,neutral
745,neutral
746,question
747,neutral
748,excited
749,excited
750,question
751,bored
752,neutral
753,bored
754,excited
755,bored
756,excited
757,question
758,neutral
759,excited
760,bored
761,neutral
762,neutral
763,bored
764,neutral
765,neutral
766,question
767,question
768,neutral
769,bored
770,question
771,bored
772,bored
773,neutral
774,neutral
775,neutral
776,bored
777,excited
778,bored
779,excited
780,bored
781,bored
782,excited
783,bored
784,question
785,neutral
786,neutral
787,excited
788,question
789,excited
790,excited
791,neutral
792,neutral
793,question
794,neutral
795,bored
796,question
797,excited
798,neutral
799,neutral
800,excited
801,bored
802,question
803,question
804,question
805,bored
806,excited
807,question
808,excited
809,bored
810,bored
811,bored
812,question
813,bored
814,neutral
815,question
816,bored
817,excited
818,question
819,bored
820,question
821,neutral
822,excited
823,excited
824,excited
825,excited
826,bored
827,neutral
828,neutral
829,question
830,bored
831,excited
832,excited
833,bored
834,neutral
835,bored
836,neutral
837,question
838,neutral
839,question
840,excited
841,bored
842,neutral
843,question
844,excited
845,question
846,neutral
847,neutral
848,excited
849,bored
850,question
851,bored
852,question
853,question
854,excited
855,bored
856,excited
857,bored
858,neutral
859,question
860,neutral
861,excited
862,bored
863,excited
864,excited
865,excited
866,bored
867,neutral
868,excited
869,bored
870,excited
871,question
872,question
873,question
874,question
875,bored
876,bored
877,question
878,question
879,bored
880,question
881,excited
882,bored
883,excited
884,neutral
885,excited
886,excited
887,excited
888,excited
889,neutral
890,excited
891,excited
892,question
893,excited
894,excited
895,bored
896,bored
897,excited
898,excited
899,bored
900,excited
901,question
902,question
903,neutral
904,excited
905,bored
906,bored
907,excited
908,question
909,question
910,neutral
911,bored
912,excited
913,neutral
914,bored
915,neutral
916,question
917,bored
918,question
919,excited
920,question
921,question
922,question
923,neutral
924,bored
925,bored
926,bored
927,bored
928,question
929,neutral
930,neutral
931,neutral
932,bored
933,excited
934,neutral
935,question
936,bored
937,neutral
938,excited
939,excited
940,bored
941,bored
942,neutral
943,neutral
944,neutral
945,neutral
946,neutral
947,neutral
948,question
949,neutral
950,neutral
951,question
952,bored
953,bored
954,neutral
955,bored
956,neutral
957,neutral
958,excited
959,neutral
960,excited
961,bored
962,excited
963,neutral
964,question
965,neutral
966,bored
967,bored
968,excited
969,question
970,bored
971,neutral
972,bored
973,question
974,question
975,excited
976,excited
977,neutral
978,neutral
979,neutral
980,neutral
981,bored
982,neutral
983,question
984,question
985,excited
986,question
987,excited
988,neutral
989,neutral
990,question
991,question
992,question
993,question
994,excited
995,neutral
996,bored
997,neutral
998,neutral
999,neutral
1000,question
1001,bored
1002,excited
1003,excited
1004,neutral
1005,neutral
1006,bored
1007,bored
1008,question
1009,neutral
1010,excited
1011,bored
1012,neutral
1013,question
1014,bored
1015,question
1016,neutral
1017,bored
1018,excited
1019,excited
1020,question
1021,neutral
1022,bored
1023,excited
1024,neutral
1025,neutral
1026,excited
1027,excited
1028,excited
1029,excited
1030,excited
1031,bored
1032,neutral
1033,bored
1034,excited
1035,bored
1036,excited
1037,question
1038,excited
1039,excited
1040,neutral
1041,bored
1042,neutral
1043,neutral
1044,neutral
1045,excited
1046,excited
1047,question
1048,question
1049,neutral
1050,neutral
1051,excited
1052,bored
1053,excited
1054,neutral
1055,neutral
1056,excited
1057,neutral
1058,bored
1059,question
1060,bored
1061,excited
1062,excited
1063,neutral
1064,question
1065,neutral
1066,question
1067,neutral
1068,neutral
1069,question
1070,question
1071,bored
1072,question
1073,bored
1074,bored
1075,question
1076,bored
1077,bored
1078,excited
1079,neutral
1080,question
1081,excited
1082,question
1083,question
1084,bored
1085,neutral
1086,excited
1087,bored
1088,neutral
1089,excited
1090,neutral
1091,excited
1092,bored
1093,excited
1094,excited
1095,excited
1096,excited
1097,neutral
1098,neutral
1099,question
1100,neutral
1101,bored
1102,neutral
1103,bored
1104,neutral
1105,bored
1106,bored
1107,question
1108,excited
1109,neutral
1110,neutral
1111,excited
1112,bored
1113,excited
1114,neutral
1115,bored
1116,neutral
1117,excited
1118,bored
1119,neutral
1120,neutral
1121,excited
1122,question
1123,excited
1124,question
1125,neutral
1126,neutral
1127,excited
1128,neutral
1129,question
1130,neutral
1131,excited
1132,bored
1133,bored
1134,neutral
1135,neutral
1136,question
1137,excited
1138,question
1139,excited
1140,question
1141,neutral
1142,bored
1143,question
1144,excited
1145,bored
1146,neutral
1147,bored
1148,neutral
1149,question
1150,neutral
1151,question
1152,excited
1153,excited
1154,neutral
1155,bored
1156,excited
1157,question
1158,neutral
1159,question
1160,question
1161,neutral
1162,question
1163,bored
1164,bored
1165,neutral
1166,neutral
1167,bored
1168,question
1169,bored
1170,excited
1171,question
1172,excited
1173,question
1174,bored
1175,neutral
1176,excited
1177,excited
1178,question
1179,question
1180,neutral
1181,neutral
1182,question
1183,excited
1184,bored
1185,excited
1186,neutral
1187,excited
1188,neutral
1189,excited
1190,bored
1191,question
1192,excited
1193,neutral
1194,question
1195,bored
1196,excited
1197,neutral
1198,question
1199,question
1200,neutral
1201,question
1202,excited
1203,bored
1204,excited
1205,neutral
1206,neutral
1207,question
1208,question
1209,excited
1210,bored
1211,neutral
1212,question
1213,bored
1214,neutral
1215,neutral
1216,excited
1217,question
1218,excited
1219,excited
1220,neutral
1221,question
1222,question
1223,question
1224,neutral
1225,excited
1226,excited
1227,excited
1228,neutral
1229,neutral
1230,question
1231,bored
1232,neutral
1233,question
1234,bored
1235,question
1236,excited
1237,bored
1238,question
1239,bored
1240,excited
1241,neutral
1242,excited
1243,question
1244,bored
1245,bored
1246,bored
1247,bored
1248,neutral
1249,neutral
1250,excited
1251,neutral
1252,bored
1253,neutral
1254,question
1255,neutral
1256,question
1257,question
1258,neutral
1259,excited
1260,question
1261,bored
1262,excited
1263,excited
1264,question
1265,neutral
1266,question
1267,excited
1268,bored
1269,excited
1270,bored
1271,excited
1272,excited
1273,neutral
1274,neutral
1275,bored
1276,question
1277,neutral
1278,neutral
1279,neutral
1280,excited
1281,question
1282,bored
1283,question
1284,neutral
1285,excited
1286,question
1287,bored
1288,excited
1289,excited
1290,neutral
1291,question
1292,neutral
1293,bored
1294,bored
1295,question
1296,excited
1297,neutral
1298,bored
1299,excited
1300,excited
1301,bored
1302,neutral
1303,excited
1304,bored
1305,neutral
1306,bored
1307,neutral
1308,bored
1309,bored
1310,neutral
1311,question
1312,neutral
1313,question
1314,question
1315,excited
1316,excited
1317,excited
1318,question
1319,excited
1320,bored
1321,question
1322,bored
1323,neutral
1324,excited
1325,neutral
1326,bored
1327,neutral
1328,bored
1329,neutral
1330,question
1331,excited
1332,bored
1333,bored
1334,excited
1335,bored
1336,question
1337,bored
1338,question
1339,excited
1340,bored
1341,neutral
1342,neutral
1343,bored
1344,bored
1345,neutral
1346,question
1347,neutral
1348,neutral
1349,neutral
1350,neutral
1351,bored
1352,question
1353,neutral
1354,neutral
1355,bored
1356,bored
1357,question
1358,excited
1359,question
1360,neutral
1361,neutral
1362,question
1363,bored
1364,question
1365,question
1366,neutral
1367,bored
1368,question
1369,excited
1370,question
1371,question
1372,bored
1373,question
1374,neutral
1375,excited
1376,excited
1377,bored
1378,question
1379,bored
1380,excited
1381,neutral
1382,question
1383,excited
1384,question
1385,bored
1386,bored
1387,bored
1388,neutral
1389,neutral
1390,question
1391,question
1392,bored
1393,question
1394,bored
1395,neutral
1396,question
1397,neutral
1398,excited
1399,neutral
1400,neutral
1401,bored
1402,neutral
1403,bored
1404,neutral
1405,excited
1406,bored
1407,bored
1408,bored
1409,excited
1410,neutral
1411,question
1412,bored
1413,neutral
1414,bored
1415,bored
1416,excited
1417,excited
1418,bored
1419,question
1420,bored
1421,excited
1422,question
1423,excited
1424,excited
1425,bored
1426,question
1427,bored
1428,bored
1429,excited
1430,question
1431,bored
1432,excited
1433,bored
1434,excited
1435,bored
1436,question
1437,excited
1438,excited
1439,excited
1440,excited
1441,neutral
1442,excited
1443,neutral
1444,excited
1445,neutral
1446,bored
1447,bored
1448,question
1449,question
1450,question
1451,question
1452,question
1453,neutral
1454,excited
1455,neutral
1456,bored
1457,excited
1458,bored
1459,question
1460,question
1461,question
1462,excited
1463,excited
1464,excited
1465,excited
1466,question
1467,question
1468,neutral
1469,neutral
1470,question
1471,bored
1472,bored
1473,question
1474,question
1475,neutral
1476,excited
1477,question
1478,question
1479,question
1480,excited
1481,excited
1482,neutral
1483,question
1484,bored
1485,question
1486,bored
1487,question
1488,neutral
1489,excited
1490,excited
1491,bored
1492,bored
1493,question
1494,bored
1495,bored
1496,excited
1497,neutral
1498,bored
1499,bored
1500,bored
1501,question
1502,bored
1503,question
1504,question
1505,question
1506,neutral
1507,excited
1508,neutral
1509,bored
1510,excited
1511,question
1512,bored
1513,question
1514,question
1515,question
1516,bored
1517,neutral
1518,excited
1519,question
1520,bored
1521,neutral
1522,excited
1523,bored
1524,neutral
1525,neutral
1526,question
1527,neutral
1528,bored
1529,neutral
1530,question
1531,neutral
1532,question
1533,excited
1534,neutral
1535,neutral
1536,neutral
1537,neutral
1538,bored
1539,bored
1540,question
1541,bored
1542,question
1543,excited
1544,bored
1545,question
1546,question
1547,question
1548,excited
1549,neutral
1550,neutral
1551,bored
1552,bored
1553,excited
1554,bored
1555,neutral
1556,neutral
1557,question
1558,question
1559,excited
1560,bored
1561,neutral
1562,question
1563,bored
1564,excited
1565,excited
1566,excited
1567,neutral
1568,bored
1569,question
1570,question
1571,question
1572,neutral
1573,question
1574,question
1575,excited
1576,excited
1577,question
1578,question
1579,excited
1580,excited
1581,excited
1582,question
1583,question
1584,question
1585,neutral
1586,excited
1587,excited
1588,question
1589,neutral
1590,question
1591,neutral
1592,bored
1593,neutral
1594,excited
1595,bored
1596,question
1597,excited
1598,excited
1599,question
1600,neutral
1601,bored
1602,neutral
1603,excited
1604,neutral
1605,question
1606,bored
1607,excited
1608,bored
1609,excited
1610,neutral
1611,question
1612,bored
1613,neutral
1614,neutral
1615,bored
1616,bored
1617,question
1618,excited
1619,neutral
1620,bored
1621,bored
1622,bored
1623,bored
1624,excited
1625,excited
1626,neutral
1627,question
1628,neutral
1629,excited
1630,bored
1631,question
1632,excited
1633,question
1634,bored
1635,question
1636,question
1637,neutral
1638,excited
1639,excited
1640,neutral
1641,bored
1642,question
1643,neutral
1644,excited
1645,excited
1646,neutral
1647,excited
1648,bored
1649,neutral
1650,question
1651,question
1652,excited
1653,neutral
1654,question
1655,question
1656,question
1657,neutral
1658,question
1659,bored
1660,neutral
1661,bored
1662,question
1663,bored
1664,bored
1665,excited
1666,question
1667,question
1668,neutral
1669,neutral
1670,bored
1671,neutral
1672,question
1673,excited
1674,bored
1675,neutral
1676,neutral
1677,question
1678,bored
1679,bored
1680,bored
1681,question
1682,neutral
1683,neutral
1684,excited
1685,question
1686,bored
1687,excited
1688,neutral
1689,excited
1690,question
1691,excited
1692,neutral
1693,neutral
1694,excited
1695,neutral
1696,bored
1697,question
1698,neutral
1699,bored
1700,neutral
1701,question
1702,bored
1703,excited
1704,excited
1705,neutral
1706,bored
1707,neutral
1708,excited
1709,neutral
1710,neutral
1711,bored
1712,neutral
1713,neutral
1714,neutral
1715,bored
1716,neutral
1717,bored
1718,excited
1719,bored
1720,neutral
1721,excited
1722,neutral
1723,question
1724,bored
1725,neutral
1726,excited
1727,neutral
1728,bored
1729,neutral
1730,question
1731,bored
1732,question
1733,bored
1734,question
1735,question
1736,question
1737,question
1738,question
1739,neutral
1740,question
1741,excited
1742,bored
1743,neutral
1744,neutral
1745,bored
1746,question
1747,neutral
1748,neutral
1749,neutral
1750,excited
1751,excited
1752,excited
1753,neutral
1754,bored
1755,excited
1756,question
1757,neutral
1758,neutral
1759,neutral
1760,question
1761,neutral
1762,question
1763,excited
1764,excited
1765,bored
1766,neutral
1767,excited
1768,bored
1769,neutral
1770,bored
1771,bored
1772,question
1773,question
1774,neutral
1775,bored
1776,excited
1777,neutral
1778,neutral
1779,bored
1780,bored
1781,excited
1782,excited
1783,neutral
1784,excited
1785,bored
1786,question
1787,neutral
1788,neutral
1789,bored
1790,excited
1791,neutral
1792,bored
1793,question
1794,neutral
1795,excited
1796,question
1797,excited
1798,excited
1799,bored
1800,question
1801,bored
1802,neutral
1803,bored
1804,question
1805,question
1806,excited
1807,bored
1808,question
1809,excited
1810,question
1811,excited
1812,bored
1813,excited
1814,neutral
1815,question
1816,neutral
1817,neutral
1818,bored
1819,bored
1820,bored
1821,neutral
1822,bored
1823,bored
1824,bored
1825,question
1826,bored
1827,bored
1828,bored
1829,neutral
1830,question
1831,question
1832,question
1833,question
1834,excited
1835,excited
1836,bored
1837,neutral
1838,neutral
1839,excited
1840,bored
1841,excited
1842,neutral
1843,bored
1844,excited
1845,excited
1846,neutral
1847,neutral
1848,neutral
1849,bored
1850,neutral
1851,bored
1852,excited
1853,neutral
1854,bored
1855,neutral
1856,excited
1857,excited
1858,bored
1859,bored
1860,bored
1861,excited
1862,bored
1863,question
1864,bored
1865,neutral
1866,neutral
1867,bored
1868,neutral
1869,excited
1870,question
1871,question
1872,excited
1873,excited
1874,bored
1875,neutral
1876,bored
1877,excited
1878,neutral
1879,question
1880,bored
1881,bored
1882,question
1883,neutral
1884,neutral
1885,bored
1886,bored
1887,bored
1888,bored
1889,excited
1890,question
1891,excited
1892,bored
1893,excited
1894,excited
1895,excited
1896,neutral
1897,neutral
1898,question
1899,question
1900,bored
1901,bored
1902,question
1903,excited
1904,excited
1905,neutral
1906,neutral
1907,neutral
1908,bored
1909,neutral
1910,bored
1911,question
1912,bored
1913,neutral
1914,neutral
1915,excited
1916,question
1917,question
1918,excited
1919,bored
1920,bored
1921,bored
1922,neutral
1923,excited
1924,bored
1925,excited
1926,neutral
1927,neutral
1928,question
1929,question
1930,excited
1931,question
1932,bored
1933,excited
1934,neutral
1935,question
1936,neutral
1937,neutral
1938,excited
1939,question
1940,question
1941,neutral
1942,bored
1943,question
1944,question
1945,excited
1946,excited
1947,excited
1948,bored
1949,neutral
1950,bored
1951,neutral
1952,question
1953,neutral
1954,neutral
1955,neutral
1956,question
1957,excited
1958,question
1959,bored
1960,question
1961,neutral
1962,neutral
1963,bored
1964,neutral
1965,neutral
1966,bored
1967,bored
1968,neutral
1969,excited
1970,question
1971,bored
1972,excited
1973,question
1974,excited
1975,bored
1976,question
1977,bored
1978,neutral
1979,bored
1980,excited
1981,excited
1982,question
1983,neutral
1984,bored
1985,excited
1986,excited
1987,neutral
1988,excited
1989,question
1990,excited
1991,excited
1992,neutral
1993,excited
1994,bored
1995,bored
1996,excited
1997,excited
1998,excited
1999,question
2000,excited
2001,neutral
2002,excited
2003,neutral
2004,bored
2005,question
2006,bored
2007,excited
2008,excited
2009,question
2010,bored
2011,excited
2012,excited
2013,neutral
2014,question
2015,question
2016,excited
2017,bored
2018,excited
2019,excited
2020,bored
2021,question
2022,question
2023,question
2024,bored
2025,excited
2026,neutral
2027,neutral
2028,excited
2029,neutral
2030,bored
2031,bored
2032,neutral
2033,question
2034,question
2035,question
2036,question
2037,bored
2038,bored
2039,neutral
2040,question
2041,excited
2042,bored
2043,neutral
2044,neutral
2045,question
2046,excited
2047,neutral
2048,bored
2049,bored
2050,excited
2051,neutral
2052,neutral
2053,bored
2054,question
2055,neutral
2056,excited
2057,excited
2058,question
2059,excited
2060,excited
2061,neutral
2062,excited
2063,bored
2064,bored
2065,excited
2066,neutral
2067,question
2068,bored
2069,question
2070,question
2071,bored
2072,excited
2073,bored
2074,question
2075,question
2076,bored
2077,neutral
2078,excited
2079,question
2080,neutral
2081,question
2082,question
2083,bored
2084,excited
2085,neutral
2086,question
2087,question
2088,question
2089,question
2090,bored
2091,neutral
2092,question
2093,bored
2094,question
2095,excited
2096,bored
2097,neutral
2098,excited
2099,bored
2100,excited
2101,excited
2102,question
2103,excited
2104,bored
2105,neutral
2106,question
2107,bored
2108,bored
2109,question
2110,neutral
2111,question
2112,bored
2113,question
2114,excited
2115,neutral
2116,question
2117,excited
2118,neutral
2119,neutral
2120,neutral
2121,neutral
2122,bored
2123,bored
2124,excited
2125,excited
2126,neutral
2127,question
2128,excited
2129,neutral
2130,excited
2131,neutral
2132,bored
2133,excited
2134,question
2135,question
2136,excited
2137,bored
2138,question
2139,bored
2140,neutral
2141,question
2142,question
2143,bored
2144,excited
2145,bored
2146,neutral
2147,excited
2148,excited
2149,excited
2150,question
2151,bored
2152,excited
2153,excited
2154,excited
2155,neutral
2156,bored
2157,excited
2158,bored
2159,excited
2160,excited
2161,question
2162,neutral
2163,question
2164,bored
2165,bored
2166,question
2167,bored
2168,question
2169,question
2170,bored
2171,bored
2172,bored
2173,excited
2174,excited
2175,neutral
2176,question
2177,excited
2178,question
2179,excited
2180,excited
2181,excited
2182,bored
2183,excited
2184,neutral
2185,excited
2186,excited
2187,neutral
2188,bored
2189,excited
2190,excited
2191,bored
2192,neutral
2193,neutral
2194,question
2195,bored
2196,excited
2197,excited
2198,question
2199,excited
2200,neutral
2201,question
2202,bored
2203,question
2204,excited
2205,bored
2206,excited
2207,question
2208,bored
2209,bored
2210,neutral
2211,neutral
2212,question
2213,excited
2214,question
2215,question
2216,neutral
2217,question
2218,bored
2219,question
2220,bored
2221,excited
2222,neutral
2223,bored
2224,neutral
2225,neutral
2226,question
2227,question
2228,bored
2229,question
2230,bored
2231,neutral
2232,neutral
2233,question
2234,question
2235,bored
2236,question
2237,excited
2238,neutral
2239,question
2240,question
2241,neutral
2242,question
2243,excited
2244,excited
2245,bored
2246,neutral
2247,bored
2248,bored
2249,excited
2250,neutral
2251,excited
2252,excited
2253,excited
2254,question
2255,bored
2256,question
2257,question
2258,neutral
2259,question
2260,excited
2261,bored
2262,excited
2263,question
2264,excited
2265,bored
2266,question
2267,question
2268,neutral
2269,bored
2270,neutral
2271,question
2272,excited
2273,neutral
2274,question
2275,question
2276,question
2277,bored
2278,excited
2279,question
2280,bored
2281,neutral
2282,excited
2283,question
2284,neutral
2285,excited
2286,bored
2287,neutral
2288,neutral
2289,bored
2290,question
2291,neutral
2292,question
2293,question
2294,question
2295,excited
2296,neutral
2297,question
2298,bored
2299,neutral
2300,neutral
2301,bored
2302,bored
2303,neutral
2304,excited
2305,bored
2306,neutral
2307,excited
2308,bored
2309,question
2310,question
2311,excited
2312,bored
2313,excited
2314,neutral
2315,bored
2316,bored
2317,neutral
2318,question
2319,neutral
2320,question
2321,excited
2322,bored
2323,excited
2324,bored
2325,neutral
2326,bored
2327,bored
2328,question
2329,neutral
2330,neutral
2331,bored
2332,neutral
2333,bored
2334,bored
2335,excited
2336,excited
2337,excited
2338,neutral
2339,neutral
2340,question
2341,bored
2342,bored
2343,excited
2344,neutral
2345,question
2346,neutral
2347,question
2348,excited
2349,neutral
2350,neutral
2351,excited
2352,excited
2353,question
2354,excited
2355,bored
2356,bored
2357,bored
2358,excited
2359,bored
2360,bored
2361,excited
2362,excited
2363,excited
2364,question
2365,neutral
2366,excited
2367,bored
2368,excited
2369,question
2370,question
2371,neutral
2372,excited
2373,bored
2374,question
2375,excited
2376,neutral
2377,neutral
2378,question
2379,bored
2380,excited
2381,question
2382,excited
2383,excited
2384,neutral
2385,question
2386,neutral
2387,excited
2388,neutral
2389,neutral
2390,bored
2391,excited
2392,neutral
2393,question
2394,bored
2395,bored
2396,question
2397,question
2398,bored
2399,question
2400,question
2401,question
2402,excited
2403,neutral
2404,excited
2405,excited
2406,question
2407,question
2408,neutral
2409,question
2410,question
2411,bored
2412,excited
2413,neutral
2414,excited
2415,excited
2416,bored
2417,excited
2418,excited
2419,bored
2420,neutral
2421,excited
2422,excited
2423,excited
2424,excited
2425,bored
2426,neutral
2427,excited
2428,bored
2429,neutral
2430,neutral
2431,excited
2432,neutral
2433,question
2434,neutral
2435,neutral
2436,excited
2437,question
2438,neutral
2439,question
2440,excited
2441,excited
2442,excited
2443,bored
2444,excited
2445,neutral
2446,excited
2447,bored
2448,question
2449,neutral
2450,excited
2451,bored
2452,neutral
2453,question
2454,neutral
2455,neutral
2456,excited
2457,excited
2458,neutral
2459,neutral
2460,question
2461,bored
2462,bored
2463,excited
2464,excited
2465,excited
2466,excited
2467,excited
2468,excited
2469,neutral
2470,bored
2471,excited
2472,question
2473,bored
2474,bored
2475,excited
2476,neutral
2477,question
2478,question
2479,bored
2480,excited
2481,neutral
2482,excited
2483,question
2484,bored
2485,bored
2486,excited
2487,excited
2488,excited
